P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( knicked | Deceptive Negative) = 3.89749585891e-05
P( surface | Deceptive Positive) = 2.87471971483e-05
P( surface | Truthful Negative) = 5.79452610434e-05
P( surface | Truthful Positive) = 2.63289539507e-05
P( under-staffed | Deceptive Negative) = 3.89749585891e-05
P( under-staffed | Deceptive Positive) = 2.87471971483e-05
P( under-staffed | Truthful Negative) = 1.93150870145e-05
P( under-staffed | Truthful Positive) = 2.63289539507e-05
P( bucks | Deceptive Negative) = 3.89749585891e-05
P( bucks | Deceptive Positive) = 5.74943942966e-05
P( bucks | Truthful Negative) = 9.65754350723e-05
P( bucks | Truthful Positive) = 7.8986861852e-05
P( employee's | Deceptive Negative) = 1.94874792946e-05
P( employee's | Deceptive Positive) = 5.74943942966e-05
P( employee's | Truthful Negative) = 1.93150870145e-05
P( employee's | Truthful Positive) = 2.63289539507e-05
P( capture | Deceptive Negative) = 1.94874792946e-05
P( capture | Deceptive Positive) = 2.87471971483e-05
P( capture | Truthful Negative) = 3.86301740289e-05
P( capture | Truthful Positive) = 2.63289539507e-05
P( sensitive | Deceptive Negative) = 3.89749585891e-05
P( sensitive | Deceptive Positive) = 5.74943942966e-05
P( sensitive | Truthful Negative) = 3.86301740289e-05
P( sensitive | Truthful Positive) = 2.63289539507e-05
P( generic | Deceptive Negative) = 1.94874792946e-05
P( generic | Deceptive Positive) = 2.87471971483e-05
P( generic | Truthful Negative) = 3.86301740289e-05
P( generic | Truthful Positive) = 2.63289539507e-05
P( began | Deceptive Negative) = 9.74373964728e-05
P( began | Deceptive Positive) = 2.87471971483e-05
P( began | Truthful Negative) = 7.72603480579e-05
P( began | Truthful Positive) = 5.26579079013e-05
P( parts | Deceptive Negative) = 1.94874792946e-05
P( parts | Deceptive Positive) = 5.74943942966e-05
P( parts | Truthful Negative) = 5.79452610434e-05
P( parts | Truthful Positive) = 5.26579079013e-05
P( speaker | Deceptive Negative) = 1.94874792946e-05
P( speaker | Deceptive Positive) = 2.87471971483e-05
P( speaker | Truthful Negative) = 3.86301740289e-05
P( speaker | Truthful Positive) = 5.26579079013e-05
P( underground | Deceptive Negative) = 1.94874792946e-05
P( underground | Deceptive Positive) = 5.74943942966e-05
P( underground | Truthful Negative) = 5.79452610434e-05
P( underground | Truthful Positive) = 5.26579079013e-05
P( wakeup | Deceptive Negative) = 5.84624378837e-05
P( wakeup | Deceptive Positive) = 2.87471971483e-05
P( wakeup | Truthful Negative) = 1.93150870145e-05
P( wakeup | Truthful Positive) = 2.63289539507e-05
P( inc | Deceptive Negative) = 1.94874792946e-05
P( inc | Deceptive Positive) = 2.87471971483e-05
P( inc | Truthful Negative) = 1.93150870145e-05
P( inc | Truthful Positive) = 5.26579079013e-05
P( chigaco | Deceptive Negative) = 3.89749585891e-05
P( chigaco | Deceptive Positive) = 2.87471971483e-05
P( chigaco | Truthful Negative) = 1.93150870145e-05
P( chigaco | Truthful Positive) = 2.63289539507e-05
P( impeccably | Deceptive Negative) = 1.94874792946e-05
P( impeccably | Deceptive Positive) = 0.000114988788593
P( impeccably | Truthful Negative) = 1.93150870145e-05
P( impeccably | Truthful Positive) = 2.63289539507e-05
P( rightfully | Deceptive Negative) = 1.94874792946e-05
P( rightfully | Deceptive Positive) = 2.87471971483e-05
P( rightfully | Truthful Negative) = 3.86301740289e-05
P( rightfully | Truthful Positive) = 2.63289539507e-05
P( effect | Deceptive Negative) = 1.94874792946e-05
P( effect | Deceptive Positive) = 2.87471971483e-05
P( effect | Truthful Negative) = 3.86301740289e-05
P( effect | Truthful Positive) = 2.63289539507e-05
P( nightly | Deceptive Negative) = 1.94874792946e-05
P( nightly | Deceptive Positive) = 5.74943942966e-05
P( nightly | Truthful Negative) = 3.86301740289e-05
P( nightly | Truthful Positive) = 5.26579079013e-05
P( sarcastic | Deceptive Negative) = 1.94874792946e-05
P( sarcastic | Deceptive Positive) = 2.87471971483e-05
P( sarcastic | Truthful Negative) = 3.86301740289e-05
P( sarcastic | Truthful Positive) = 2.63289539507e-05
P( discouraged | Deceptive Negative) = 1.94874792946e-05
P( discouraged | Deceptive Positive) = 2.87471971483e-05
P( discouraged | Truthful Negative) = 3.86301740289e-05
P( discouraged | Truthful Positive) = 2.63289539507e-05
P( luxorius | Deceptive Negative) = 1.94874792946e-05
P( luxorius | Deceptive Positive) = 5.74943942966e-05
P( luxorius | Truthful Negative) = 1.93150870145e-05
P( luxorius | Truthful Positive) = 2.63289539507e-05
P( spree | Deceptive Negative) = 1.94874792946e-05
P( spree | Deceptive Positive) = 5.74943942966e-05
P( spree | Truthful Negative) = 1.93150870145e-05
P( spree | Truthful Positive) = 2.63289539507e-05
P( impeccable | Deceptive Negative) = 7.79499171782e-05
P( impeccable | Deceptive Positive) = 8.62415914448e-05
P( impeccable | Truthful Negative) = 1.93150870145e-05
P( impeccable | Truthful Positive) = 5.26579079013e-05
P( energized | Deceptive Negative) = 1.94874792946e-05
P( energized | Deceptive Positive) = 5.74943942966e-05
P( energized | Truthful Negative) = 1.93150870145e-05
P( energized | Truthful Positive) = 2.63289539507e-05
P( ashley | Deceptive Negative) = 1.94874792946e-05
P( ashley | Deceptive Positive) = 8.62415914448e-05
P( ashley | Truthful Negative) = 1.93150870145e-05
P( ashley | Truthful Positive) = 2.63289539507e-05
P( hopefully,no | Deceptive Negative) = 1.94874792946e-05
P( hopefully,no | Deceptive Positive) = 2.87471971483e-05
P( hopefully,no | Truthful Negative) = 3.86301740289e-05
P( hopefully,no | Truthful Positive) = 2.63289539507e-05
P( i | Deceptive Negative) = 0.0277696579947
P( i | Deceptive Positive) = 0.0244926119703
P( i | Truthful Negative) = 0.0182913874027
P( i | Truthful Positive) = 0.0150075037519
P( nonetheless | Deceptive Negative) = 1.94874792946e-05
P( nonetheless | Deceptive Positive) = 2.87471971483e-05
P( nonetheless | Truthful Negative) = 3.86301740289e-05
P( nonetheless | Truthful Positive) = 2.63289539507e-05
P( well | Deceptive Negative) = 0.000740524213193
P( well | Deceptive Positive) = 0.00143735985741
P( well | Truthful Negative) = 0.00104301469878
P( well | Truthful Positive) = 0.00157973723704
P( corporation | Deceptive Negative) = 1.94874792946e-05
P( corporation | Deceptive Positive) = 2.87471971483e-05
P( corporation | Truthful Negative) = 3.86301740289e-05
P( corporation | Truthful Positive) = 2.63289539507e-05
P( advertises | Deceptive Negative) = 7.79499171782e-05
P( advertises | Deceptive Positive) = 2.87471971483e-05
P( advertises | Truthful Negative) = 1.93150870145e-05
P( advertises | Truthful Positive) = 2.63289539507e-05
P( attractively | Deceptive Negative) = 1.94874792946e-05
P( attractively | Deceptive Positive) = 2.87471971483e-05
P( attractively | Truthful Negative) = 1.93150870145e-05
P( attractively | Truthful Positive) = 5.26579079013e-05
P( accurate | Deceptive Negative) = 5.84624378837e-05
P( accurate | Deceptive Positive) = 5.74943942966e-05
P( accurate | Truthful Negative) = 1.93150870145e-05
P( accurate | Truthful Positive) = 2.63289539507e-05
P( purifier | Deceptive Negative) = 1.94874792946e-05
P( purifier | Deceptive Positive) = 2.87471971483e-05
P( purifier | Truthful Negative) = 1.93150870145e-05
P( purifier | Truthful Positive) = 5.26579079013e-05
P( mistaken | Deceptive Negative) = 5.84624378837e-05
P( mistaken | Deceptive Positive) = 2.87471971483e-05
P( mistaken | Truthful Negative) = 3.86301740289e-05
P( mistaken | Truthful Positive) = 2.63289539507e-05
P( sofie | Deceptive Negative) = 1.94874792946e-05
P( sofie | Deceptive Positive) = 5.74943942966e-05
P( sofie | Truthful Negative) = 1.93150870145e-05
P( sofie | Truthful Positive) = 2.63289539507e-05
P( mistakes | Deceptive Negative) = 3.89749585891e-05
P( mistakes | Deceptive Positive) = 2.87471971483e-05
P( mistakes | Truthful Negative) = 7.72603480579e-05
P( mistakes | Truthful Positive) = 2.63289539507e-05
P( advertised | Deceptive Negative) = 0.000194874792946
P( advertised | Deceptive Positive) = 5.74943942966e-05
P( advertised | Truthful Negative) = 3.86301740289e-05
P( advertised | Truthful Positive) = 5.26579079013e-05
P( lures | Deceptive Negative) = 1.94874792946e-05
P( lures | Deceptive Positive) = 2.87471971483e-05
P( lures | Truthful Negative) = 1.93150870145e-05
P( lures | Truthful Positive) = 5.26579079013e-05
P( no-show | Deceptive Negative) = 1.94874792946e-05
P( no-show | Deceptive Positive) = 2.87471971483e-05
P( no-show | Truthful Negative) = 3.86301740289e-05
P( no-show | Truthful Positive) = 2.63289539507e-05
P( lured | Deceptive Negative) = 3.89749585891e-05
P( lured | Deceptive Positive) = 2.87471971483e-05
P( lured | Truthful Negative) = 3.86301740289e-05
P( lured | Truthful Positive) = 2.63289539507e-05
P( riverside | Deceptive Negative) = 1.94874792946e-05
P( riverside | Deceptive Positive) = 5.74943942966e-05
P( riverside | Truthful Negative) = 1.93150870145e-05
P( riverside | Truthful Positive) = 2.63289539507e-05
P( accomodate | Deceptive Negative) = 1.94874792946e-05
P( accomodate | Deceptive Positive) = 5.74943942966e-05
P( accomodate | Truthful Negative) = 1.93150870145e-05
P( accomodate | Truthful Positive) = 2.63289539507e-05
P( indignation | Deceptive Negative) = 1.94874792946e-05
P( indignation | Deceptive Positive) = 2.87471971483e-05
P( indignation | Truthful Negative) = 3.86301740289e-05
P( indignation | Truthful Positive) = 2.63289539507e-05
P( kick | Deceptive Negative) = 1.94874792946e-05
P( kick | Deceptive Positive) = 5.74943942966e-05
P( kick | Truthful Negative) = 1.93150870145e-05
P( kick | Truthful Positive) = 2.63289539507e-05
P( ample | Deceptive Negative) = 3.89749585891e-05
P( ample | Deceptive Positive) = 5.74943942966e-05
P( ample | Truthful Negative) = 5.79452610434e-05
P( ample | Truthful Positive) = 7.8986861852e-05
P( itches | Deceptive Negative) = 1.94874792946e-05
P( itches | Deceptive Positive) = 2.87471971483e-05
P( itches | Truthful Negative) = 3.86301740289e-05
P( itches | Truthful Positive) = 2.63289539507e-05
P( livid | Deceptive Negative) = 3.89749585891e-05
P( livid | Deceptive Positive) = 2.87471971483e-05
P( livid | Truthful Negative) = 1.93150870145e-05
P( livid | Truthful Positive) = 2.63289539507e-05
P( unfortunitly | Deceptive Negative) = 1.94874792946e-05
P( unfortunitly | Deceptive Positive) = 2.87471971483e-05
P( unfortunitly | Truthful Negative) = 3.86301740289e-05
P( unfortunitly | Truthful Positive) = 2.63289539507e-05
P( historic | Deceptive Negative) = 3.89749585891e-05
P( historic | Deceptive Positive) = 2.87471971483e-05
P( historic | Truthful Negative) = 5.79452610434e-05
P( historic | Truthful Positive) = 0.000157973723704
P( burden | Deceptive Negative) = 1.94874792946e-05
P( burden | Deceptive Positive) = 2.87471971483e-05
P( burden | Truthful Negative) = 3.86301740289e-05
P( burden | Truthful Positive) = 2.63289539507e-05
P( immediately | Deceptive Negative) = 0.000272824710124
P( immediately | Deceptive Positive) = 0.000287471971483
P( immediately | Truthful Negative) = 0.000251096131188
P( immediately | Truthful Positive) = 0.000184302677655
P( necessary | Deceptive Negative) = 3.89749585891e-05
P( necessary | Deceptive Positive) = 2.87471971483e-05
P( necessary | Truthful Negative) = 7.72603480579e-05
P( necessary | Truthful Positive) = 2.63289539507e-05
P( lost | Deceptive Negative) = 0.000155899834356
P( lost | Deceptive Positive) = 0.000114988788593
P( lost | Truthful Negative) = 0.00017383578313
P( lost | Truthful Positive) = 7.8986861852e-05
P( politely | Deceptive Negative) = 3.89749585891e-05
P( politely | Deceptive Positive) = 2.87471971483e-05
P( politely | Truthful Negative) = 1.93150870145e-05
P( politely | Truthful Positive) = 2.63289539507e-05
P( fingerprints | Deceptive Negative) = 3.89749585891e-05
P( fingerprints | Deceptive Positive) = 2.87471971483e-05
P( fingerprints | Truthful Negative) = 1.93150870145e-05
P( fingerprints | Truthful Positive) = 2.63289539507e-05
P( sized | Deceptive Negative) = 0.000136412355062
P( sized | Deceptive Positive) = 0.000201230380038
P( sized | Truthful Negative) = 7.72603480579e-05
P( sized | Truthful Positive) = 0.000184302677655
P( lose | Deceptive Negative) = 3.89749585891e-05
P( lose | Deceptive Positive) = 2.87471971483e-05
P( lose | Truthful Negative) = 5.79452610434e-05
P( lose | Truthful Positive) = 5.26579079013e-05
P( shed | Deceptive Negative) = 1.94874792946e-05
P( shed | Deceptive Positive) = 2.87471971483e-05
P( shed | Truthful Negative) = 1.93150870145e-05
P( shed | Truthful Positive) = 5.26579079013e-05
P( ex-smoker | Deceptive Negative) = 3.89749585891e-05
P( ex-smoker | Deceptive Positive) = 2.87471971483e-05
P( ex-smoker | Truthful Negative) = 1.93150870145e-05
P( ex-smoker | Truthful Positive) = 2.63289539507e-05
P( tempered | Deceptive Negative) = 3.89749585891e-05
P( tempered | Deceptive Positive) = 2.87471971483e-05
P( tempered | Truthful Negative) = 1.93150870145e-05
P( tempered | Truthful Positive) = 2.63289539507e-05
P( francisco | Deceptive Negative) = 1.94874792946e-05
P( francisco | Deceptive Positive) = 5.74943942966e-05
P( francisco | Truthful Negative) = 1.93150870145e-05
P( francisco | Truthful Positive) = 2.63289539507e-05
P( warmer | Deceptive Negative) = 3.89749585891e-05
P( warmer | Deceptive Positive) = 5.74943942966e-05
P( warmer | Truthful Negative) = 1.93150870145e-05
P( warmer | Truthful Positive) = 5.26579079013e-05
P( cleveland | Deceptive Negative) = 1.94874792946e-05
P( cleveland | Deceptive Positive) = 2.87471971483e-05
P( cleveland | Truthful Negative) = 1.93150870145e-05
P( cleveland | Truthful Positive) = 5.26579079013e-05
P( home | Deceptive Negative) = 0.000292312189418
P( home | Deceptive Positive) = 0.00137986546312
P( home | Truthful Negative) = 0.000270411218203
P( home | Truthful Positive) = 0.000500250125063
P( liking | Deceptive Negative) = 5.84624378837e-05
P( liking | Deceptive Positive) = 2.87471971483e-05
P( liking | Truthful Negative) = 1.93150870145e-05
P( liking | Truthful Positive) = 5.26579079013e-05
P( heaven's | Deceptive Negative) = 1.94874792946e-05
P( heaven's | Deceptive Positive) = 5.74943942966e-05
P( heaven's | Truthful Negative) = 1.93150870145e-05
P( heaven's | Truthful Positive) = 2.63289539507e-05
P( delaware | Deceptive Negative) = 1.94874792946e-05
P( delaware | Deceptive Positive) = 2.87471971483e-05
P( delaware | Truthful Negative) = 3.86301740289e-05
P( delaware | Truthful Positive) = 5.26579079013e-05
P( grinding | Deceptive Negative) = 1.94874792946e-05
P( grinding | Deceptive Positive) = 2.87471971483e-05
P( grinding | Truthful Negative) = 3.86301740289e-05
P( grinding | Truthful Positive) = 2.63289539507e-05
P( e-mail | Deceptive Negative) = 1.94874792946e-05
P( e-mail | Deceptive Positive) = 2.87471971483e-05
P( e-mail | Truthful Negative) = 7.72603480579e-05
P( e-mail | Truthful Positive) = 5.26579079013e-05
P( weeknights | Deceptive Negative) = 1.94874792946e-05
P( weeknights | Deceptive Positive) = 2.87471971483e-05
P( weeknights | Truthful Negative) = 1.93150870145e-05
P( weeknights | Truthful Positive) = 5.26579079013e-05
P( demonstrated | Deceptive Negative) = 1.94874792946e-05
P( demonstrated | Deceptive Positive) = 2.87471971483e-05
P( demonstrated | Truthful Negative) = 3.86301740289e-05
P( demonstrated | Truthful Positive) = 2.63289539507e-05
P( reaching | Deceptive Negative) = 3.89749585891e-05
P( reaching | Deceptive Positive) = 2.87471971483e-05
P( reaching | Truthful Negative) = 3.86301740289e-05
P( reaching | Truthful Positive) = 2.63289539507e-05
P( knickerbocker-as | Deceptive Negative) = 1.94874792946e-05
P( knickerbocker-as | Deceptive Positive) = 2.87471971483e-05
P( knickerbocker-as | Truthful Negative) = 3.86301740289e-05
P( knickerbocker-as | Truthful Positive) = 2.63289539507e-05
P( amy | Deceptive Negative) = 1.94874792946e-05
P( amy | Deceptive Positive) = 5.74943942966e-05
P( amy | Truthful Negative) = 1.93150870145e-05
P( amy | Truthful Positive) = 2.63289539507e-05
P( refuge | Deceptive Negative) = 3.89749585891e-05
P( refuge | Deceptive Positive) = 2.87471971483e-05
P( refuge | Truthful Negative) = 1.93150870145e-05
P( refuge | Truthful Positive) = 2.63289539507e-05
P( recognized | Deceptive Negative) = 1.94874792946e-05
P( recognized | Deceptive Positive) = 5.74943942966e-05
P( recognized | Truthful Negative) = 1.93150870145e-05
P( recognized | Truthful Positive) = 2.63289539507e-05
P( nightclub | Deceptive Negative) = 1.94874792946e-05
P( nightclub | Deceptive Positive) = 2.87471971483e-05
P( nightclub | Truthful Negative) = 5.79452610434e-05
P( nightclub | Truthful Positive) = 2.63289539507e-05
P( compatible | Deceptive Negative) = 1.94874792946e-05
P( compatible | Deceptive Positive) = 2.87471971483e-05
P( compatible | Truthful Negative) = 1.93150870145e-05
P( compatible | Truthful Positive) = 5.26579079013e-05
P( cancelation | Deceptive Negative) = 1.94874792946e-05
P( cancelation | Deceptive Positive) = 2.87471971483e-05
P( cancelation | Truthful Negative) = 3.86301740289e-05
P( cancelation | Truthful Positive) = 2.63289539507e-05
P( recognizes | Deceptive Negative) = 1.94874792946e-05
P( recognizes | Deceptive Positive) = 2.87471971483e-05
P( recognizes | Truthful Negative) = 3.86301740289e-05
P( recognizes | Truthful Positive) = 5.26579079013e-05
P( pastries | Deceptive Negative) = 3.89749585891e-05
P( pastries | Deceptive Positive) = 2.87471971483e-05
P( pastries | Truthful Negative) = 1.93150870145e-05
P( pastries | Truthful Positive) = 5.26579079013e-05
P( sheratons/starwood | Deceptive Negative) = 1.94874792946e-05
P( sheratons/starwood | Deceptive Positive) = 2.87471971483e-05
P( sheratons/starwood | Truthful Negative) = 1.93150870145e-05
P( sheratons/starwood | Truthful Positive) = 5.26579079013e-05
P( previously | Deceptive Negative) = 5.84624378837e-05
P( previously | Deceptive Positive) = 5.74943942966e-05
P( previously | Truthful Negative) = 5.79452610434e-05
P( previously | Truthful Positive) = 2.63289539507e-05
P( artists | Deceptive Negative) = 1.94874792946e-05
P( artists | Deceptive Positive) = 5.74943942966e-05
P( artists | Truthful Negative) = 1.93150870145e-05
P( artists | Truthful Positive) = 2.63289539507e-05
P( couldnt | Deceptive Negative) = 1.94874792946e-05
P( couldnt | Deceptive Positive) = 2.87471971483e-05
P( couldnt | Truthful Negative) = 3.86301740289e-05
P( couldnt | Truthful Positive) = 2.63289539507e-05
P( pointless | Deceptive Negative) = 1.94874792946e-05
P( pointless | Deceptive Positive) = 2.87471971483e-05
P( pointless | Truthful Negative) = 3.86301740289e-05
P( pointless | Truthful Positive) = 2.63289539507e-05
P( additional | Deceptive Negative) = 7.79499171782e-05
P( additional | Deceptive Positive) = 0.00017248318289
P( additional | Truthful Negative) = 0.000154520696116
P( additional | Truthful Positive) = 7.8986861852e-05
P( pc | Deceptive Negative) = 1.94874792946e-05
P( pc | Deceptive Positive) = 2.87471971483e-05
P( pc | Truthful Negative) = 3.86301740289e-05
P( pc | Truthful Positive) = 2.63289539507e-05
P( museum | Deceptive Negative) = 3.89749585891e-05
P( museum | Deceptive Positive) = 8.62415914448e-05
P( museum | Truthful Negative) = 3.86301740289e-05
P( museum | Truthful Positive) = 7.8986861852e-05
P( noticed | Deceptive Negative) = 0.000233849751535
P( noticed | Deceptive Positive) = 5.74943942966e-05
P( noticed | Truthful Negative) = 0.000115890522087
P( noticed | Truthful Positive) = 0.000131644769753
P( accountant | Deceptive Negative) = 1.94874792946e-05
P( accountant | Deceptive Positive) = 2.87471971483e-05
P( accountant | Truthful Negative) = 3.86301740289e-05
P( accountant | Truthful Positive) = 2.63289539507e-05
P( inner | Deceptive Negative) = 1.94874792946e-05
P( inner | Deceptive Positive) = 2.87471971483e-05
P( inner | Truthful Negative) = 3.86301740289e-05
P( inner | Truthful Positive) = 2.63289539507e-05
P( north | Deceptive Negative) = 3.89749585891e-05
P( north | Deceptive Positive) = 0.000143735985741
P( north | Truthful Negative) = 0.00017383578313
P( north | Truthful Positive) = 0.000421263263211
P( fountains | Deceptive Negative) = 1.94874792946e-05
P( fountains | Deceptive Positive) = 2.87471971483e-05
P( fountains | Truthful Negative) = 1.93150870145e-05
P( fountains | Truthful Positive) = 5.26579079013e-05
P( blaming | Deceptive Negative) = 1.94874792946e-05
P( blaming | Deceptive Positive) = 2.87471971483e-05
P( blaming | Truthful Negative) = 3.86301740289e-05
P( blaming | Truthful Positive) = 2.63289539507e-05
P( strawberries | Deceptive Negative) = 1.94874792946e-05
P( strawberries | Deceptive Positive) = 2.87471971483e-05
P( strawberries | Truthful Negative) = 7.72603480579e-05
P( strawberries | Truthful Positive) = 5.26579079013e-05
P( gain | Deceptive Negative) = 5.84624378837e-05
P( gain | Deceptive Positive) = 2.87471971483e-05
P( gain | Truthful Negative) = 1.93150870145e-05
P( gain | Truthful Positive) = 2.63289539507e-05
P( ear | Deceptive Negative) = 1.94874792946e-05
P( ear | Deceptive Positive) = 2.87471971483e-05
P( ear | Truthful Negative) = 1.93150870145e-05
P( ear | Truthful Positive) = 5.26579079013e-05
P( eat | Deceptive Negative) = 0.000116924875767
P( eat | Deceptive Positive) = 0.000373713562928
P( eat | Truthful Negative) = 0.000154520696116
P( eat | Truthful Positive) = 0.00039493430926
P( hd | Deceptive Negative) = 1.94874792946e-05
P( hd | Deceptive Positive) = 5.74943942966e-05
P( hd | Truthful Negative) = 1.93150870145e-05
P( hd | Truthful Positive) = 5.26579079013e-05
P( he | Deceptive Negative) = 0.00109129884049
P( he | Deceptive Positive) = 0.000546196745817
P( he | Truthful Negative) = 0.00148726170011
P( he | Truthful Positive) = 0.000631894894816
P( hosting | Deceptive Negative) = 3.89749585891e-05
P( hosting | Deceptive Positive) = 8.62415914448e-05
P( hosting | Truthful Negative) = 3.86301740289e-05
P( hosting | Truthful Positive) = 5.26579079013e-05
P( signed | Deceptive Negative) = 1.94874792946e-05
P( signed | Deceptive Positive) = 2.87471971483e-05
P( signed | Truthful Negative) = 3.86301740289e-05
P( signed | Truthful Positive) = 5.26579079013e-05
P( alters | Deceptive Negative) = 1.94874792946e-05
P( alters | Deceptive Positive) = 2.87471971483e-05
P( alters | Truthful Negative) = 3.86301740289e-05
P( alters | Truthful Positive) = 2.63289539507e-05
P( carriage | Deceptive Negative) = 3.89749585891e-05
P( carriage | Deceptive Positive) = 2.87471971483e-05
P( carriage | Truthful Negative) = 1.93150870145e-05
P( carriage | Truthful Positive) = 2.63289539507e-05
P( stories | Deceptive Negative) = 1.94874792946e-05
P( stories | Deceptive Positive) = 8.62415914448e-05
P( stories | Truthful Negative) = 1.93150870145e-05
P( stories | Truthful Positive) = 2.63289539507e-05
P( delights | Deceptive Negative) = 5.84624378837e-05
P( delights | Deceptive Positive) = 2.87471971483e-05
P( delights | Truthful Negative) = 1.93150870145e-05
P( delights | Truthful Positive) = 2.63289539507e-05
P( inquired | Deceptive Negative) = 3.89749585891e-05
P( inquired | Deceptive Positive) = 2.87471971483e-05
P( inquired | Truthful Negative) = 1.93150870145e-05
P( inquired | Truthful Positive) = 2.63289539507e-05
P( piece | Deceptive Negative) = 3.89749585891e-05
P( piece | Deceptive Positive) = 2.87471971483e-05
P( piece | Truthful Negative) = 3.86301740289e-05
P( piece | Truthful Positive) = 2.63289539507e-05
P( display | Deceptive Negative) = 5.84624378837e-05
P( display | Deceptive Positive) = 8.62415914448e-05
P( display | Truthful Negative) = 1.93150870145e-05
P( display | Truthful Positive) = 2.63289539507e-05
P( reservations | Deceptive Negative) = 0.000370262106597
P( reservations | Deceptive Positive) = 0.000201230380038
P( reservations | Truthful Negative) = 0.000289726305217
P( reservations | Truthful Positive) = 0.000236960585556
P( penny | Deceptive Negative) = 3.89749585891e-05
P( penny | Deceptive Positive) = 0.000114988788593
P( penny | Truthful Negative) = 1.93150870145e-05
P( penny | Truthful Positive) = 2.63289539507e-05
P( hiltons | Deceptive Negative) = 3.89749585891e-05
P( hiltons | Deceptive Positive) = 2.87471971483e-05
P( hiltons | Truthful Negative) = 1.93150870145e-05
P( hiltons | Truthful Positive) = 2.63289539507e-05
P( twist | Deceptive Negative) = 1.94874792946e-05
P( twist | Deceptive Positive) = 5.74943942966e-05
P( twist | Truthful Negative) = 1.93150870145e-05
P( twist | Truthful Positive) = 2.63289539507e-05
P( utensils | Deceptive Negative) = 3.89749585891e-05
P( utensils | Deceptive Positive) = 2.87471971483e-05
P( utensils | Truthful Negative) = 1.93150870145e-05
P( utensils | Truthful Positive) = 7.8986861852e-05
P( beats | Deceptive Negative) = 1.94874792946e-05
P( beats | Deceptive Positive) = 8.62415914448e-05
P( beats | Truthful Negative) = 1.93150870145e-05
P( beats | Truthful Positive) = 2.63289539507e-05
P( erie | Deceptive Negative) = 1.94874792946e-05
P( erie | Deceptive Positive) = 5.74943942966e-05
P( erie | Truthful Negative) = 1.93150870145e-05
P( erie | Truthful Positive) = 2.63289539507e-05
P( eric | Deceptive Negative) = 1.94874792946e-05
P( eric | Deceptive Positive) = 2.87471971483e-05
P( eric | Truthful Negative) = 5.79452610434e-05
P( eric | Truthful Positive) = 5.26579079013e-05
P( balcony | Deceptive Negative) = 3.89749585891e-05
P( balcony | Deceptive Positive) = 2.87471971483e-05
P( balcony | Truthful Negative) = 1.93150870145e-05
P( balcony | Truthful Positive) = 2.63289539507e-05
P( diego | Deceptive Negative) = 1.94874792946e-05
P( diego | Deceptive Positive) = 2.87471971483e-05
P( diego | Truthful Negative) = 3.86301740289e-05
P( diego | Truthful Positive) = 2.63289539507e-05
P( functions | Deceptive Negative) = 1.94874792946e-05
P( functions | Deceptive Positive) = 2.87471971483e-05
P( functions | Truthful Negative) = 3.86301740289e-05
P( functions | Truthful Positive) = 2.63289539507e-05
P( coffeepot | Deceptive Negative) = 1.94874792946e-05
P( coffeepot | Deceptive Positive) = 5.74943942966e-05
P( coffeepot | Truthful Negative) = 1.93150870145e-05
P( coffeepot | Truthful Positive) = 2.63289539507e-05
P( propositioned | Deceptive Negative) = 1.94874792946e-05
P( propositioned | Deceptive Positive) = 2.87471971483e-05
P( propositioned | Truthful Negative) = 1.93150870145e-05
P( propositioned | Truthful Positive) = 5.26579079013e-05
P( crummy | Deceptive Negative) = 3.89749585891e-05
P( crummy | Deceptive Positive) = 2.87471971483e-05
P( crummy | Truthful Negative) = 3.86301740289e-05
P( crummy | Truthful Positive) = 2.63289539507e-05
P( febreeze | Deceptive Negative) = 3.89749585891e-05
P( febreeze | Deceptive Positive) = 2.87471971483e-05
P( febreeze | Truthful Negative) = 1.93150870145e-05
P( febreeze | Truthful Positive) = 2.63289539507e-05
P( treadmills | Deceptive Negative) = 3.89749585891e-05
P( treadmills | Deceptive Positive) = 2.87471971483e-05
P( treadmills | Truthful Negative) = 1.93150870145e-05
P( treadmills | Truthful Positive) = 7.8986861852e-05
P( star | Deceptive Negative) = 0.000194874792946
P( star | Deceptive Positive) = 0.000201230380038
P( star | Truthful Negative) = 0.000791918567593
P( star | Truthful Positive) = 0.000210631631605
P( stay | Deceptive Negative) = 0.00411185813115
P( stay | Deceptive Positive) = 0.00638187776692
P( stay | Truthful Negative) = 0.00353466092365
P( stay | Truthful Positive) = 0.00473921171112
P( additionally | Deceptive Negative) = 9.74373964728e-05
P( additionally | Deceptive Positive) = 2.87471971483e-05
P( additionally | Truthful Negative) = 3.86301740289e-05
P( additionally | Truthful Positive) = 2.63289539507e-05
P( friends | Deceptive Negative) = 0.000116924875767
P( friends | Deceptive Positive) = 0.000546196745817
P( friends | Truthful Negative) = 0.000289726305217
P( friends | Truthful Positive) = 0.000315947447408
P( northbridge | Deceptive Negative) = 1.94874792946e-05
P( northbridge | Deceptive Positive) = 2.87471971483e-05
P( northbridge | Truthful Negative) = 1.93150870145e-05
P( northbridge | Truthful Positive) = 5.26579079013e-05
P( samsung | Deceptive Negative) = 1.94874792946e-05
P( samsung | Deceptive Positive) = 2.87471971483e-05
P( samsung | Truthful Negative) = 1.93150870145e-05
